Date,Close,High,Low,Open,Volume,r1,r5,r21,vol21,rsi,macd,macd_signal,bb_upper,bb_lower,tr,atr
2020-06-03,290.2584533691406,291.22543164712795,288.1757571161911,288.45467951627955,92567600.0,0.013308154725916399,0.028497942720583147,0.10089220151841638,0.012249336363896652,86.52654771846049,5.624011780312685,4.042184754496003,290.7448679722159,258.41248981587006,4.779051031893573,5.2459536507308115
2020-06-04,289.4960021972656,291.02085351601016,287.3761070190981,289.26355742608666,75794400.0,-0.002626800918370975,0.027692274024983643,0.0879480190908617,0.01230105259955476,83.56649691856683,5.933216929258208,4.420391189448444,292.54882727231535,259.12915734682525,3.6447464969120915,4.70136991180684
2020-06-05,296.91571044921875,298.71017764112366,294.8887984384263,294.9538897976216,150524700.0,0.02562974340107549,0.049356117172675074,0.12344776349309239,0.012887736426482933,85.95040378392616,6.699742226402691,4.876261396839293,295.98983141849834,258.63183606197043,9.21417544385804,5.028126043183188
2020-06-08,300.50469970703125,300.6999454272229,297.18538059070323,297.7339470066986,73641200.0,0.012087569406086685,0.05776516992722569,0.12347074895935406,0.01288825373676935,84.28989347903305,7.510247032749817,5.403058524021398,299.89256230657526,257.5891179912763,3.784234978004122,4.603087133041831
2020-06-09,298.2638854980469,300.57902668815314,296.9342796417474,297.80827438311485,77479200.0,-0.007456835820434771,0.04125555665053504,0.0969432540843651,0.01293677902255155,85.58007906522151,7.880916650307938,5.898630149278707,302.65414870092275,257.4578752248585,3.644747046405712,4.580509008241726
2020-06-10,296.5995483398437,299.7515132727341,295.87432173907547,298.84962636380106,95000800.0,-0.005580082735876735,0.021846374832841464,0.09059809686251596,0.013093357739383405,79.56044767655013,7.948748666825281,6.308653852788022,304.3695716152776,258.7484307040583,3.8771915336586176,4.465616318008971
2020-06-11,279.5008850097656,290.2305438983544,278.9430402427075,289.5889940416309,209243600.0,-0.057648986405354985,-0.03452592475073013,0.0486273432200115,0.01817334533311857,55.33809940250861,6.547313443556789,6.356385770941776,303.32209983805967,261.56340431233093,17.656508097136168,5.462471780394741
2020-06-12,282.8481140136719,287.376134042086,277.6320664777444,286.59512294243626,194678900.0,0.01197573669145724,-0.0473790909018027,0.08029094901690192,0.01767820873009107,57.73229648013187,5.641725044514999,6.21345362565642,302.52731139450367,264.14708740920724,9.744067564341606,5.998421532635177
2020-06-15,285.4887390136719,286.63237783282256,275.90271615337605,277.09283259033515,135782700.0,0SP.009335840930770223,-0.04996913761414967,0.07748202007283433,0.017626946635279344,57.127442738591164,5.078573449316821,5.9864775903885015,301.7187647355924,266.8867864118685,10.729661679446508,6.31652946006296
2020-06-16,290.9837341308594,293.4755643253044,286.0652218548657,293.326796226038,137627500.0,0.01924767728552812,-0.02440842395327536,0.09319549947575667,0.017950731069025432,58.21857187563827,5.0178295199848435,5.79274797630777,302.1274280672419,268.1480083341253,7.986825311632515,6.442050408613121
2020-06-17,289.7749938964844,292.3133013713127,289.0311534988338,292.0157652122525,83398900.0,-0.004153978702573835,-0.023009321765857016,0.056474539226484266,0.017003187336252435,57.47714702719312,4.816631157566803,5.597524612559577,301.87422352837825,270.23194407416077,3.2821478724789017,6.370990240104517
